PC1,PC2
-0.5616101170671214,-2.4665881767380675
-0.3429833540732729,2.800511170085197
0.8154442524711933,2.3083700571121866
1.7269689664792014,3.628718714795467
1.9619547976693967,3.7065257382109382
-4.312598429664955,0.2065744654736362
0.2342626139119165,-0.8805857606285565
-0.2404233832048266,0.7998876389369236
-0.6626766094651707,-2.4772156236136604
-0.8562859941489936,0.20757611963470027
0.2766544006875083,-0.9302996419988804
4.825313392402118,-2.59620896179668
-0.7193886227620606,-2.3323823279253957
0.3153335853383115,-0.3578065034082599
4.924142192760364,-2.5686988049306816
0.955513041495088,-0.2082192427609773
-0.23807351529596127,0.6981841813197555
1.7321923096811755,-0.36504762527504375
0.6847088212771835,-0.9849533578633689
1.0645620903175501,-1.5471858042591302
0.9669035403291231,-1.63720133600852
-1.9640134199215216,0.47133932530151745
1.1724235842170458,-1.7407277714526528
-0.9352276197846044,-0.09606460246622842
-0.4721621516437262,-1.751618333489535
0.36981932168704446,2.2881809640135424
4.438082470660033,-1.660060736936578
-0.5898026601825804,-1.6785681467395794
2.207939656518767,3.429394994687961
0.31857505658614305,0.6794050537240932
-0.6586158832487491,-0.732960515393905
1.1750097510690767,-1.2095255546402854
1.9320899370543394,-0.5846840308079924
-2.8571049431356896,-0.776778308758894
0.38841922546423874,0.6420899036945402
-1.111646479248174,-1.8636574230106775
1.5921004973560156,2.8627793955445804
-0.6155092996955233,-1.8375061292428254
-2.823441809673212,-0.3359518929427417
-1.7818416597480604,-0.19558283206477778
0.950310084363616,-1.0647755909192707
0.38855309710440616,-0.821919620584888
-0.1519220348300536,0.7354099879731627
-2.0232476355216713,0.7213555760816288
2.0797210404692485,3.5425716809563594
4.930374840031654,-2.718279332888248
2.20463203877702,0.07370720488521627
-0.7630067694426964,-1.9235795292840112
-0.3349206527675745,3.440419052731501
2.40434918234645,3.674917329058115
-0.029822635904167547,-0.71344721366788
4.514520682367861,-1.7654747983419012
0.7237604297448836,-0.46529327558672273
-0.4653292001682719,-1.7684183984303259
-5.947621079844649,-1.1815497265870982
0.2057675747196476,1.8203790310838464
-0.25014683901228313,0.6209725847657559
0.6911145774311543,-0.4116151311805697
-0.8573429249924659,-2.513032472211836
4.508451889682962,-1.4939898043595994
2.0848246366358603,-0.1973286654526294
-5.99651306912725,-1.2509390941011436
-0.6939110351738028,-1.8297765316676207
4.104647222831286,-1.7722105617907684
2.4891934881323943,-0.5992757421602403
0.5646260808042983,-0.10481920673460317
-4.267455729333118,0.328893153595493
-6.047394186508081,-1.3123990244093346
5.174859053879094,-2.91006155191382
-0.5789599330088284,3.103298447439308
0.3901551941360674,1.4936089234080028
0.7270088151580194,-1.710623087938118
-0.3096808937313114,-1.914539215268802
-0.7757604876808519,-2.498292223502841
-1.7137241278608464,0.317371804612095
-0.4816170895972428,-1.891326132985686
4.4491194803747405,-2.0300938213603983
1.0280645571511722,-1.7961226993583985
4.4834575783642,-1.6016420004646463
-0.6847323102190237,-2.4292010695131507
-0.8297221531787433,-2.739383861991063
0.9449824887192446,-1.2159316042432529
-0.9716390731858952,0.08325572503230386
1.0350695437114992,-1.0851509180233718
-2.9710169138021727,-0.6288459056854876
0.3741357841116688,0.6000256572729723
-0.712003147548537,0.30765077568669574
-0.3622435794659542,0.607122222703317
4.954528110902827,-2.9202721112079124
-0.8640170106372567,-0.3497510699155096
1.7791736071456186,3.6305241075452215
0.037466242893431104,3.6374391965691886
0.12115580086997371,2.060246286876838
1.849543126136871,3.191881080599026
-1.147224460725583,0.13701714130006964
-2.758949794949012,-0.242881972847009
-0.7429290903272566,-2.5639253524187544
0.37132300814735675,2.100899847206029
0.8208290377093268,-0.5394854160296453
-0.047406734448496614,-0.22448022873698167
4.502325326607351,-1.5429306751513403
2.0536068880009424,3.8200273370178848
-1.9691376839746764,-0.03094957524413604
0.3619684425748502,0.725178021934788
-4.742212032785022,-0.14299305712511604
0.09981940977526198,-0.6419851283280835
5.3012378798349275e-05,-0.5140254079096163
